127.0.0.1 localhost
127.0.0.1 localhost.localdomain
0.0.0.0 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0
$$$$$$$$$$$

qq.com,58.247.214.47
0.qq.com,0.0.0.1
ct10000.qq.com,183.60.10.35
1000.qq.com,0.0.0.1
100.qq.com,0.0.0.1
smtpbg100.qq.com,0.0.0.1
smtpbg200.qq.com,0.0.0.1
smtpbg600.qq.com,59.36.128.179
10.qq.com,0.0.0.1
my2010.qq.com,0.0.0.1
110.qq.com,203.205.253.212
smtpbg410.qq.com,113.96.223.72
smtpbg510.qq.com,203.205.250.17
smtpbg10.qq.com,0.0.0.1
x10.qq.com,0.0.0.1
smtpproxy10.qq.com,0.0.0.1
2020.qq.com,0.0.0.1
smtpbg220.qq.com,0.0.0.1
smtpbg320.qq.com,0.0.0.1
smtpbg420.qq.com,183.3.226.244
520.qq.com,0.0.0.1
smtpbg520.qq.com,203.205.250.49
smtpbg20.qq.com,0.0.0.1
smtpproxy20.qq.com,0.0.0.1
smtpbg330.qq.com,0.0.0.1
smtpbg430.qq.com,183.3.255.43
12530.qq.com,0.0.0.1
smtpbg30.qq.com,0.0.0.1
smtpproxy30.qq.com,0.0.0.1
aps0040.qq.com,0.0.0.1
smtpbg140.qq.com,0.0.0.1
smtpbg340.qq.com,14.17.44.35
smtpbg440.qq.com,183.3.255.59
smtpbg150.qq.com,0.0.0.1
smtpbg350.qq.com,0.0.0.1
smtpbg450.qq.com,0.0.0.1
aps0550.qq.com,0.0.0.1
smtpbg550.qq.com,183.3.226.152
smtpbg160.qq.com,0.0.0.1
smtpbg260.qq.com,0.0.0.1
smtpbg360.qq.com,183.61.51.185
smtpbg460.qq.com,59.36.132.19
smtpbg560.qq.com,183.3.255.160
smtpbg170.qq.com,0.0.0.1
smtpbg270.qq.com,0.0.0.1
smtpbg370.qq.com,0.0.0.1
smtpbg470.qq.com,0.0.0.1
smtpbg570.qq.com,183.3.255.252
smtpbg180.qq.com,0.0.0.1
smtpbg280.qq.com,0.0.0.1
smtpbg380.qq.com,203.205.176.242
smtpbg480.qq.com,59.36.132.97
smtpbg290.qq.com,0.0.0.1
smtpbg590.qq.com,113.96.223.103
u0.qq.com,203.205.219.230
mx0.qq.com,0.0.0.1
1.qq.com,101.89.15.139
gas-storage-1.qq.com,111.161.64.23
pick.101.qq.com,0.0.0.1
pick101.qq.com,0.0.0.1
smtpbg201.qq.com,0.0.0.1
smtpbg301.qq.com,0.0.0.1
smtpbg401.qq.com,113.96.223.41
smtpbg501.qq.com,203.205.250.101
smtpbg601.qq.com,59.36.128.173
smtpbg701.qq.com,203.205.195.86
111.qq.com,0.0.0.1
1111.qq.com,0.0.0.1
smtpbg411.qq.com,113.96.223.73
smtpbg511.qq.com,203.205.250.109
smtpbg11.qq.com,0.0.0.1
smtpproxy11.qq.com,0.0.0.1
21.qq.com,0.0.0.1
021.qq.com,0.0.0.1
smtpbg221.qq.com,0.0.0.1
smtpbg321.qq.com,0.0.0.1
smtpproxy21.qq.com,0.0.0.1
smtpbg331.qq.com,14.17.43.223
smtpbg431.qq.com,183.3.255.44
smtpbg31.qq.com,0.0.0.1
smtpproxy31.qq.com,0.0.0.1
smtpbg141.qq.com,0.0.0.1
smtpbg341.qq.com,0.0.0.1
smtpbg441.qq.com,183.3.255.60
51.qq.com,0.0.0.1
smtpbg151.qq.com,0.0.0.1
smtpbg251.qq.com,0.0.0.1
smtpbg351.qq.com,0.0.0.1
smtpbg451.qq.com,183.3.255.89
smtpbg551.qq.com,183.3.226.173
smtpbg161.qq.com,0.0.0.1
smtpbg261.qq.com,0.0.0.1
smtpbg361.qq.com,0.0.0.1
smtpbg461.qq.com,0.0.0.1
smtpbg561.qq.com,183.3.255.170
smtpbg171.qq.com,0.0.0.1
smtpbg371.qq.com,0.0.0.1
smtpbg471.qq.com,59.36.132.65
smtpbg571.qq.com,59.36.129.148
81.qq.com,0.0.0.1
smtpbg181.qq.com,0.0.0.1
smtpbg281.qq.com,0.0.0.1
smtpbg381.qq.com,203.205.176.243
smtpbg581.qq.com,113.96.223.76
smtpbg291.qq.com,0.0.0.1
smtpbg591.qq.com,113.96.223.91
stun-a1.qq.com,163.177.93.178
xlab1.qq.com,203.205.235.65
ns-cnc1.qq.com,111.161.107.195
d1.qq.com,0.0.0.1
ad1.qq.com,0.0.0.1
imgcache1.qq.com,0.0.0.1
mcache1.qq.com,0.0.0.1
qqgame-update1.qq.com,101.91.29.245
live1.qq.com,0.0.0.1
smtpbg1.qq.com,0.0.0.1
bbsimg1.qq.com,163.177.68.179
smtpbgsg1.qq.com,54.254.200.92
ns-tel1.qq.com,101.91.94.51
ns-cdn1.qq.com,111.30.143.89
ns-open1.qq.com,120.204.1.100
ssl.wlogin1.qq.com,121.51.142.19
ns-cmn1.qq.com,121.51.129.28
no1.qq.com,0.0.0.1
smtpbgjp1.qq.com,54.238.142.250
app1.qq.com,0.0.0.1
smtpbgbr1.qq.com,54.207.19.206
ns1.qq.com,101.89.19.165
dns1.qq.com,219.133.41.245
ns-os1.qq.com,203.205.177.39
apps1.qq.com,0.0.0.1
rs1.qq.com,59.36.120.122
ts1.qq.com,59.36.120.122
t1.qq.com,0.0.0.1
smtpbguseast1.qq.com,54.204.34.129
smtpbgau1.qq.com,54.206.16.166
ns-edu1.qq.com,121.51.129.28
smtpbgeu1.qq.com,52.59.177.22
tv1.qq.com,0.0.0.1
www1.qq.com,0.0.0.1
mx1.qq.com,58.251.110.111
wx1.qq.com,203.205.254.252
bbs.h1z1.qq.com,140.207.189.23
mxbiz1.qq.com,203.205.232.191
2.qq.com,0.0.0.1
gas-storage-2.qq.com,111.161.64.23
smtpbg202.qq.com,184.105.206.29
smtpbg302.qq.com,0.0.0.1
smtpbg402.qq.com,113.96.223.44
smtpbg502.qq.com,203.205.250.69
smtpbg602.qq.com,59.36.128.239
smtpbg702.qq.com,203.205.195.102
12.qq.com,0.0.0.1
smtpbg412.qq.com,113.96.223.75
512.qq.com,0.0.0.1
smtpbg512.qq.com,203.205.250.48
smtpbg12.qq.com,0.0.0.1
smtpproxy12.qq.com,0.0.0.1
22.qq.com,0.0.0.1
2022.qq.com,0.0.0.1
smtpbg222.qq.com,0.0.0.1
smtpbg322.qq.com,0.0.0.1
smtpbg422.qq.com,0.0.0.1
smtpbg132.qq.com,0.0.0.1
smtpbg332.qq.com,0.0.0.1
smtpbg432.qq.com,183.3.255.45
smtpbg32.qq.com,0.0.0.1
smtpproxy32.qq.com,0.0.0.1
smtpbg142.qq.com,0.0.0.1
smtpbg342.qq.com,14.17.44.37
smtpbg442.qq.com,183.3.255.61
smtpbg152.qq.com,0.0.0.1
smtpbg252.qq.com,0.0.0.1
smtpbg352.qq.com,183.57.50.167
smtpbg452.qq.com,183.3.255.91
smtpbg552.qq.com,183.3.226.181
smtpbg162.qq.com,0.0.0.1
smtpbg262.qq.com,0.0.0.1
smtpbg362.qq.com,14.215.153.231
smtpbg462.qq.com,0.0.0.1
smtpbg562.qq.com,183.3.255.174
smtpbg62.qq.com,0.0.0.1
smtpbg172.qq.com,0.0.0.1
smtpbg272.qq.com,0.0.0.1
smtpbg372.qq.com,0.0.0.1
smtpbg472.qq.com,59.36.132.71
smtpbg572.qq.com,59.36.129.162
